Annual_Income,Sale_Price,Dealer_ID,Customer_ID,Car_ID,Date_ID,Sale_ID
13500,26000,D1,1,1,1,1
1480000,19000,D2,2,2,1,2
1035000,31500,D3,3,3,1,3
13500,14000,D4,4,4,1,4
1465000,24500,D5,5,5,1,5
850000,12000,D6,6,6,1,6
1600000,14000,D7,7,7,1,7
13500,42000,D8,8,8,1,8
815000,82000,D9,9,9,1,9
13500,15000,D9,10,10,1,10
13500,31000,D10,11,11,1,11
13500,46000,D10,12,12,1,12
885000,9000,D11,13,13,1,13
13500,15000,D12,14,14,1,14
722000,26000,D1,15,15,1,15
746000,17000,D2,16,16,1,16
535000,18000,D3,17,17,1,17
570000,31000,D4,18,18,1,18
685000,33000,D5,19,19,1,19
455000,21000,D6,20,20,1,20
13500,25000,D7,21,21,1,21
2500000,21000,D6,22,22,1,22
585000,12000,D13,23,23,1,23
920000,18000,D14,24,24,1,24
672000,22000,D15,25,25,1,25
801250,31250,D16,26,26,1,26
820000,19000,D8,27,27,1,27
791000,41000,D17,28,28,1,28
13500,41000,D10,29,28,1,29
1020000,13000,D18,30,29,1,30
210000,20000,D11,31,30,1,31
750000,14000,D12,32,31,1,32
635000,19000,D14,33,20,1,33
675000,43000,D16,34,32,1,34
880000,16000,D8,35,33,1,35
13500,42000,D13,36,34,2,36
13500,21000,D19,37,35,2,37
13500,61000,D20,38,36,2,38
941000,39000,D21,39,37,2,39
13500,16000,D14,40,38,2,40
13500,26000,D15,41,15,2,41
13500,21000,D16,42,39,2,42
967500,42500,D8,43,40,2,43
600000,45001,D13,44,41,2,44
575000,36001,D19,45,42,2,45
566000,12000,D20,46,43,2,46
1250000,21001,D21,47,44,2,47
730000,29000,D9,48,45,2,48
4060000,20000,D10,49,46,2,49
13500,22000,D18,50,47,2,50
1180000,31000,D11,51,48,2,51
1360000,27000,D17,52,49,2,52
640000,33000,D2,53,50,2,53
615000,14000,D12,54,9,2,54
520000,17000,D4,55,11,2,55
1876000,25600,D22,56,51,3,56
13500,17000,D23,57,52,3,57
13500,21000,D24,58,53,3,58
890000,12000,D1,59,43,3,59
1800000,17000,D2,60,54,3,60
1330000,36000,D18,61,55,3,61
393000,17000,D22,62,43,3,62
440000,41000,D23,63,56,3,63
280000,14000,D25,64,57,3,64
1151000,31100,D12,65,58,3,65
1650000,61000,D14,66,36,3,66
13500,26000,D15,67,59,3,67
895000,12000,D5,68,60,3,68
660000,42000,D6,69,34,3,69
13500,21000,D7,70,61,3,70
1636000,22600,D25,71,47,4,71
1000000,45000,D26,72,62,4,72
745000,25000,D27,73,63,4,73
300000,62000,D28,74,64,4,74
1097000,22700,D17,75,65,4,75
542000,45000,D9,76,66,4,76
1200000,17000,D4,77,67,4,77
490000,49000,D24,78,68,4,78
410000,15000,D6,79,69,4,79
930000,28000,D7,80,70,4,80
480000,46000,D16,81,12,4,81
1360000,43000,D19,82,71,4,82
2200000,41000,D26,83,72,4,83
1100000,45000,D27,84,73,4,84
13500,22001,D28,85,74,4,85
1700000,25001,D17,86,75,4,86
1908000,12800,D9,87,76,4,87
13500,26000,D10,88,77,4,88
13500,18000,D16,89,78,4,89
2550000,19000,D8,90,79,4,90
1245000,22500,D1,91,80,4,91
13500,21001,D10,92,81,4,92
1115000,46500,D11,93,82,4,93
13500,16000,D4,94,83,4,94
2110000,39000,D13,95,84,4,95
13500,19000,D19,96,85,4,96
1050000,26000,D20,97,86,4,97
13500,43000,D21,98,87,4,98
13500,54000,D22,99,80,4,99
320000,22000,D23,100,88,4,100
13500,16001,D10,101,89,5,101
760000,16001,D18,102,78,5,102
1390000,12000,D20,103,19,5,103
659000,38000,D1,104,90,5,104
1330000,42000,D18,105,91,5,105
13500,21000,D11,106,92,5,106
13500,49000,D5,107,93,5,107
1362000,21200,D4,108,94,5,108
480000,71000,D24,109,95,5,109
365000,17000,D25,110,96,5,110
481000,57001,D11,111,97,6,111
700000,62001,D12,112,98,6,112
1350000,69001,D14,113,99,6,113
750000,20001,D15,114,100,6,114
451000,27000,D23,115,49,6,115
650000,49000,D8,116,68,6,116
700000,49000,D24,117,101,6,117
13500,12000,D25,118,102,6,118
1220000,25000,D12,119,56,6,119
1300000,42000,D14,120,103,6,120
470000,19000,D15,121,104,6,121
1167500,26750,D16,122,105,6,122
3000000,31000,D7,123,18,6,123
1900000,49000,D13,124,29,6,124
1690000,15000,D19,125,106,6,125
2800000,26000,D20,126,107,6,126
642000,17000,D15,127,108,6,127
705000,24000,D27,128,109,6,128
670000,19000,D28,129,110,6,129
13500,20000,D17,130,62,6,130
1985000,28501,D16,131,70,7,131
1275000,15500,D26,132,14,7,132
13500,20000,D8,133,111,7,133
1650000,29000,D21,134,80,7,134
520500,12500,D9,135,112,7,135
500000,16001,D8,136,95,8,136
1172500,27250,D1,137,113,8,137
441000,11000,D2,138,114,8,138
1310000,22001,D3,139,80,8,139
13500,22000,D4,140,115,8,140
1200000,22000,D5,141,116,8,141
1680000,18000,D27,142,117,8,142
1340000,27000,D28,143,118,8,143
901000,25000,D17,144,119,8,144
849500,26500,D9,145,11,8,145
13500,69000,D10,146,99,8,146
1071500,14150,D18,147,120,8,147
1740000,28000,D17,148,121,8,148
13500,43000,D9,149,32,8,149
1700000,25000,D10,150,122,8,150
1100000,12000,D18,151,123,8,151
13500,39000,D11,152,124,8,152
2155000,60500,D12,153,125,8,153
13500,16000,D22,154,25,8,154
13500,19000,D23,155,126,8,155
661000,44000,D24,156,127,8,156
13500,71000,D25,157,128,8,157
13500,25000,D26,158,71,8,158
2750000,18000,D27,159,129,8,159
13500,22000,D10,160,130,8,160
13500,41000,D13,161,131,8,161
13500,49000,D20,162,68,8,162
950000,19000,D12,163,25,8,163
715000,21000,D14,164,132,8,164
13500,22000,D9,165,133,8,165
847000,16000,D6,166,134,9,166
13500,45000,D7,167,135,9,167
1176500,11650,D13,168,114,9,168
955000,26000,D19,169,136,9,169
800000,36000,D11,170,137,9,170
13500,82000,D12,171,138,9,171
13500,24000,D14,172,96,9,172
626800,11800,D25,173,139,9,173
2115000,27500,D14,174,140,9,174
2810000,36000,D15,175,141,9,175
13500,20000,D16,176,62,9,176
13500,17000,D8,177,54,9,177
1589000,16900,D28,178,25,9,178
1385000,46500,D17,179,142,9,179
2000000,14000,D9,180,143,9,180
951000,16000,D10,181,60,9,181
1390000,22000,D10,182,144,9,182
2320000,20000,D8,183,46,9,183
2752000,14200,D17,184,4,9,184
655000,51000,D9,185,145,9,185
890000,19000,D20,186,6,10,186
1330000,31000,D21,187,146,10,187
13500,32000,D22,188,24,10,188
900000,31000,D23,189,147,10,189
570000,14000,D16,190,120,10,190
715000,25000,D8,191,69,10,191
630000,46000,D17,192,72,10,192
700500,39500,D9,193,148,10,193
2130000,39000,D1,194,149,10,194
13500,31000,D2,195,150,10,195
2950000,41000,D3,196,151,10,196
2150000,22000,D4,197,83,10,197
1700000,22000,D18,198,152,10,198
13500,41000,D11,199,26,10,199
1540000,21000,D12,200,62,10,200
1300000,26000,D14,201,153,10,201
960000,31000,D10,202,154,10,202
13500,19000,D18,203,155,10,203
1810000,13000,D11,204,29,10,204
1130000,33000,D18,205,156,10,205
1090000,61000,D24,206,157,11,206
500000,21000,D25,207,158,11,207
1700000,16000,D10,208,80,11,208
860000,15000,D18,209,79,11,209
13500,27000,D5,210,159,11,210
2035000,13500,D6,211,160,11,211
1372500,9250,D15,212,161,11,212
1800000,31000,D16,213,162,11,213
1250000,32000,D14,214,160,11,214
1175000,29500,D15,215,34,11,215
1100000,14000,D26,216,163,12,216
1315000,18501,D27,217,164,12,217
480000,17001,D28,218,11,12,218
423500,12500,D17,219,165,12,219
13500,21000,D9,220,132,12,220
13500,62000,D11,221,166,12,221
653000,11000,D12,222,167,12,222
13500,20000,D14,223,168,12,223
2862000,21200,D15,224,20,12,224
2180000,29000,D16,225,169,12,225
13500,17000,D7,226,18,12,226
1500000,27000,D13,227,170,12,227
1190000,36000,D19,228,171,12,228
920000,19000,D20,229,172,12,229
320000,18000,D21,230,164,12,230
690000,15000,D5,231,173,12,231
13500,24000,D13,232,174,12,232
905000,16000,D9,233,38,12,233
13500,29000,D10,234,175,12,234
1180000,19000,D18,235,126,12,235
800000,22000,D16,236,176,12,236
1225000,23500,D8,237,26,12,237
1200000,36000,D1,238,8,12,238
13500,19000,D2,239,126,12,239
1350000,53000,D14,240,177,12,240
426000,28000,D10,241,178,13,241
1447500,60750,D18,242,179,13,242
770000,42000,D15,243,173,13,243
1610000,31000,D1,244,180,13,244
1540000,62000,D22,245,64,13,245
1285000,39500,D23,246,148,13,246
1400000,24001,D19,247,174,13,247
1200000,15000,D12,248,181,13,248
1720000,19000,D4,249,85,13,249
600000,35000,D8,250,182,13,250
457000,21000,D11,251,183,14,251
2450000,20000,D2,252,46,14,252
1975000,18500,D24,253,184,14,253
860000,45000,D14,254,73,14,254
944000,12000,D6,255,123,14,255
1135000,21500,D12,256,185,15,256
2210000,17000,D3,257,186,15,257
316000,46000,D25,258,73,15,258
1151000,41100,D15,259,187,15,259
1385000,22500,D7,260,188,15,260
700000,9000,D14,261,13,16,261
1542000,20200,D15,262,100,16,262
962000,59000,D16,263,80,16,263
1290000,22000,D8,264,189,16,264
2250000,57000,D4,265,97,16,265
2155000,25500,D5,266,73,16,266
13500,18000,D6,267,117,16,267
13500,27000,D7,268,118,16,268
807000,22000,D26,269,188,16,269
825000,82000,D27,270,190,16,270
720000,15000,D28,271,191,16,271
850000,31000,D17,272,192,16,272
1130000,13000,D16,273,160,16,273
13500,17000,D8,274,193,16,274
1370000,46000,D1,275,104,16,275
1311000,19100,D2,276,194,16,276
1280000,10000,D13,277,88,16,277
2000000,42000,D19,278,195,16,278
13500,18000,D20,279,129,16,279
650000,25000,D21,280,196,16,280
1290000,22000,D17,281,65,17,281
13500,25000,D13,282,197,17,282
911000,23000,D9,283,198,17,283
1150000,33000,D3,284,25,17,284
655000,25000,D22,285,120,17,285
470000,43000,D9,286,87,18,286
1180000,21001,D10,287,199,18,287
1195000,11501,D18,288,200,18,288
1420000,32000,D19,289,160,18,289
13500,20000,D20,290,106,18,290
13500,9000,D21,291,201,18,291
916000,29000,D10,292,175,18,292
592000,17000,D18,293,43,18,293
750000,27000,D11,294,202,18,294
1900000,54000,D4,295,118,18,295
1410000,33000,D5,296,50,18,296
1125000,27500,D26,297,203,18,297
580000,14000,D23,298,4,18,298
710000,41000,D24,299,204,18,299
335000,22000,D25,300,205,18,300
13500,24000,D11,301,206,19,301
1012500,24250,D12,302,207,19,302
970000,37000,D14,303,119,19,303
1495000,54500,D22,304,208,19,304
13500,46000,D23,305,104,19,305
13500,37000,D24,306,209,19,306
922000,26000,D12,307,59,19,307
1130000,21000,D14,308,92,19,308
13500,41000,D15,309,187,19,309
1090000,12000,D7,310,85,19,310
630100,25100,D13,311,209,19,311
1350000,34000,D19,312,169,19,312
1330000,34000,D26,313,128,19,313
591000,39000,D9,314,210,19,314
13500,33000,D28,315,50,19,315
1030000,33000,D15,316,211,20,316
13500,18000,D16,317,117,20,317
927000,21000,D8,318,20,20,318
840000,39000,D1,319,37,20,319
730000,25000,D2,320,212,20,320
770000,46000,D3,321,213,20,321
1125000,13500,D25,322,214,20,322
995000,21000,D26,323,215,20,323
13500,13000,D27,324,183,20,324
13500,43000,D28,325,99,20,325
1100000,22000,D17,326,188,20,326
13500,26000,D9,327,216,20,327
13500,12000,D16,328,217,20,328
910000,22000,D8,329,7,20,329
1859000,21900,D17,330,92,20,330
13500,45000,D9,331,218,20,331
1200000,71000,D10,332,219,20,332
13500,13000,D18,333,29,20,333
1660000,14000,D20,334,163,20,334
13500,13000,D21,335,214,20,335
13500,28000,D22,336,121,20,336
905000,14000,D23,337,31,20,337
13500,31000,D24,338,220,20,338
1152000,29200,D25,339,175,20,339
550000,42000,D17,340,40,20,340
13500,18000,D11,341,221,20,341
936000,13000,D10,342,222,20,342
580000,85000,D18,343,223,20,343
1900000,43000,D11,344,224,20,344
1605000,43500,D12,345,225,20,345
13500,36000,D4,346,226,21,346
603000,16000,D5,347,227,21,347
700000,31000,D6,348,194,21,348
600000,16000,D7,349,228,21,349
500000,14000,D13,350,229,21,350
420000,24000,D19,351,2,21,351
500000,39000,D20,352,230,21,352
1035000,14500,D21,353,231,21,353
960000,20000,D22,354,232,21,354
2345000,16500,D16,355,139,21,355
512000,31000,D18,356,160,21,356
820000,21000,D11,357,132,21,357
1050000,21000,D12,358,61,21,358
1326000,85600,D14,359,233,21,359
1800000,23000,D17,360,234,21,360
730000,21000,D16,361,44,21,361
880000,24000,D8,362,30,21,362
925000,22000,D17,363,235,21,363
480000,25000,D11,364,197,21,364
1835000,22500,D12,365,236,21,365
13500,19000,D14,366,237,21,366
13500,27000,D15,367,238,21,367
13500,18000,D16,368,239,21,368
13500,75000,D8,369,240,21,369
1635000,71500,D1,370,219,21,370
1705000,61500,D2,371,241,21,371
1005000,21500,D3,372,61,21,372
920000,25000,D26,373,242,21,373
840000,29000,D27,374,243,21,374
728000,12000,D28,375,102,21,375
980000,23000,D12,376,234,21,376
1900000,19000,D9,377,6,21,377
1325000,19500,D10,378,126,21,378
1200000,21000,D18,379,61,21,379
13500,20000,D11,380,168,21,380
610000,29001,D16,381,244,21,381
1415000,25500,D14,382,69,21,382
685000,19000,D12,383,245,21,383
637000,24000,D16,384,246,21,384
570000,20000,D16,385,81,21,385
926000,19000,D17,386,27,21,386
610000,37000,D9,387,119,21,387
700000,17000,D10,388,54,21,388
1525000,29500,D18,389,247,21,389
1900000,46000,D11,390,239,21,390
960000,45000,D23,391,248,22,391
720000,25000,D24,392,71,22,392
13500,25000,D15,393,221,22,393
715000,14000,D10,394,100,22,394
852000,19000,D4,395,249,22,395
690000,12000,D5,396,250,22,396
1030000,17000,D14,397,11,22,397
3200000,26000,D15,398,86,22,398
13500,27000,D12,399,60,22,399
13500,19000,D14,400,237,22,400
785000,29000,D25,401,165,23,401
725000,14000,D26,402,143,23,402
450000,60000,D27,403,125,23,403
515000,14000,D28,404,207,23,404
840500,22500,D18,405,115,23,405
810000,22000,D11,406,101,23,406
1600000,24000,D12,407,109,23,407
1325000,43500,D14,408,87,23,408
13500,29000,D6,409,169,23,409
13500,42000,D7,410,251,23,410
2120000,19000,D13,411,252,23,411
405000,14000,D19,412,4,23,412
1450000,18000,D16,413,195,23,413
550000,9000,D8,414,161,23,414
380000,26000,D17,415,108,23,415
2830000,13000,D9,416,253,23,416
13500,24000,D15,417,207,23,417
454000,46000,D16,418,249,23,418
562000,39000,D8,419,107,23,419
1000000,24000,D1,420,45,23,420
680000,19000,D17,421,251,24,421
530000,28001,D9,422,254,24,422
895000,60001,D10,423,179,24,423
600000,22001,D18,424,255,24,424
805000,22001,D11,425,14,24,425
3150000,22000,D15,426,236,24,426
1285000,21500,D16,427,61,24,427
685000,25000,D8,428,21,24,428
878000,85000,D1,429,256,24,429
957000,21000,D2,430,30,24,430
2100000,24000,D20,431,246,24,431
13500,44000,D21,432,257,24,432
1435000,31500,D22,433,180,24,433
1020000,46000,D23,434,249,24,434
1041000,22100,D24,435,258,24,435
2260000,21000,D10,436,259,24,436
13500,14000,D18,437,260,24,437
13500,18000,D11,438,78,24,438
2060000,16000,D12,439,261,24,439
1650000,18000,D14,440,262,24,440
985000,36000,D2,441,52,24,441
820000,10000,D3,442,263,24,442
591000,45000,D1,443,264,24,443
800000,45000,D5,444,265,24,444
1501000,21100,D6,445,215,24,445
760000,28001,D12,446,70,25,446
1200000,25000,D3,447,266,25,447
565000,26000,D25,448,77,25,448
13500,15000,D15,449,120,25,449
13500,21000,D20,450,22,25,450
752000,31001,D14,451,146,26,451
580000,21001,D15,452,259,26,452
725000,22001,D16,453,176,26,453
758000,38000,D8,454,25,26,454
440000,26000,D17,455,77,26,455
970000,29000,D9,456,267,26,456
755000,31000,D10,457,146,26,457
13500,21000,D4,458,46,26,458
862000,62000,D5,459,64,26,459
1236000,36600,D6,460,8,26,460
13500,20000,D7,461,268,26,461
1750000,53000,D13,462,269,26,462
1005000,27500,D1,463,270,26,463
2010000,31000,D20,464,11,26,464
2250000,27000,D26,465,238,26,465
900000,44000,D27,466,127,26,466
800000,19000,D28,467,172,26,467
1135000,53500,D17,468,271,26,468
1490000,45000,D9,469,265,26,469
13500,20000,D10,470,126,26,470
1230000,19000,D18,471,194,26,471
1650000,25000,D16,472,266,26,472
13500,16000,D8,473,219,26,473
685000,42000,D26,474,82,26,474
561000,33000,D2,475,272,26,475
13500,26000,D3,476,1,26,476
830000,19000,D4,477,2,26,477
424000,31000,D5,478,180,26,478
1663000,49300,D13,479,273,26,479
1415000,17500,D10,480,274,26,480
13500,25000,D20,481,39,26,481
660000,45000,D21,482,265,26,482
13500,25000,D22,483,197,26,483
13500,17000,D23,484,105,26,484
663500,21500,D24,485,275,26,485
985000,26001,D18,486,1,27,486
700000,22001,D11,487,276,27,487
509500,23501,D12,488,277,27,488
830000,61000,D14,489,278,27,489
462500,13500,D15,490,29,27,490
670000,24000,D16,491,2,27,491
675000,24000,D8,492,30,27,492
1042000,21200,D1,493,279,27,493
1560000,21000,D4,494,280,27,494
830000,33000,D13,495,156,27,495
1480000,21000,D23,496,275,27,496
1682000,9200,D24,497,281,27,497
13500,16000,D25,498,95,27,498
13500,29000,D26,499,122,27,499
13500,36000,D27,500,8,27,500
13500,62000,D28,501,166,27,501
1050000,14000,D11,502,282,27,502
13500,12000,D12,503,159,27,503
1005000,26500,D14,504,283,27,504
1316500,22650,D15,505,83,27,505
1045000,57500,D16,506,284,27,506
1495000,15500,D8,507,181,27,507
1126000,39600,D17,508,107,27,508
1320000,25000,D9,509,120,27,509
1750000,14000,D6,510,4,27,510
995000,24000,D7,511,45,27,511
1320000,12000,D13,512,6,27,512
350000,14000,D19,513,7,27,513
